instruction,input,output
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: It is a ball chair.,an armchair with four separate legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target's legs are bend at an angle..,a ball club chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It does not have wheels.,a chair that its legs are bend at an angle
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: There is a back cushion.,a club chair with a back cushion
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It is a single seat.,a single seat chair
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: It has four legs.,an armchair with four legs
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It has four legs.,a straight chair with four legs
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: The seat is lower.,an armchair that does not look like a desk chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: the legs looks thinner.,a chair with thin legs
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: There are curved legs that look like arches..,an armchair with curved legs that look like arches
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The back is rounder.,an armchair with a rounded back
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target chair has a very thick circular seat..,a side chair with a very thick circular seat
You will be given an utterance comparing lawn chair to another chair. Your task is to rewrite the given utterance as a description specifically about the lawn chair.,Can you rewrite please the following utterance comparing lawn chair to another chair as a description specifically about the lawn chair? Utterance: It has arms.,a lawn chair with arms
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a ring shaped base.,a chair with a ring shaped base
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target is a bench..,a bench
You will be given an utterance comparing easy chair to another chair. Your task is to rewrite the given utterance as a description specifically about the easy chair.,Can you rewrite please the following utterance comparing easy chair to another chair as a description specifically about the easy chair? Utterance: The target has high side arms.,an easy chair with high side arms
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It looks less comfortable.,a chair that does not look comfortable
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: the chair does not have tapered legs..,a straight chair without tapered legs
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: it has arms.,an armchair with arms
You will be given an utterance comparing rocking chair to another chair. Your task is to rewrite the given utterance as a description specifically about the rocking chair.,"Can you rewrite please the following utterance comparing rocking chair to another chair as a description specifically about the rocking chair? Utterance: The chair glides, rather than stands stationary..",a glided rocking chair
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The seat is square and bigger..,a straight chair with a square and big seat
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The chair is a office chair.,a chair with 4 rectangular legs
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The legs are closer.,a straight chair with close legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It is an office chair..,an office chair
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: Target chair is thinner and more compact..,a thin and compact straight chair
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: The target has no square cushion on the back.,a club chair without square cushion on the back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The back is curved at the top.,a chair that its back is curved at the top
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: There are triangular patterns on the back.,a chair with triangular patterns on the back
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: It looks very uncomfortable.,a bulky club chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has two legs.,a chair with two legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,"Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: This appears to be a comparison between a chair and a geometrical table, but it could also be a stool..",a stool chair
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The chair is narrower..,a narrow side chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has fewer legs..,a chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The legs are curved.,a short side chair
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: The target back is not as wide..,a chair with curved legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,"Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The back is square, with no extensions on the edge.",a side chair with a square back without extensions on the edge
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The back cushion is smaller.,a chair with a small back cushion
You will be given an utterance comparing easy chair to another chair. Your task is to rewrite the given utterance as a description specifically about the easy chair.,Can you rewrite please the following utterance comparing easy chair to another chair as a description specifically about the easy chair? Utterance: The target is on two legs instead of four..,a straight chair with a gap between the seat and the backrest
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The backrest comes to a point.,an easy chair with two legs
You will be given an utterance comparing overstuffed chair to another chair. Your task is to rewrite the given utterance as a description specifically about the overstuffed chair.,Can you rewrite please the following utterance comparing overstuffed chair to another chair as a description specifically about the overstuffed chair? Utterance: it has a rounded design.,a chair that its backrest comes to a point
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: the back has a v shape.,a straight chair that its back has a v shape
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: It has wheels on it.,a side chair with wheels 
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: Target back rest is open..,a side chair with an open back rest
You will be given an utterance comparing rex chair to another chair. Your task is to rewrite the given utterance as a description specifically about the rex chair.,Can you rewrite please the following utterance comparing rex chair to another chair as a description specifically about the rex chair? Utterance: It looks less comfortable.,a rex chair that looks no comfortable
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: Looks like a fork.,a chair that looks like a fork
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target has long thin legs..,an armchair with long thin legs
You will be given an utterance comparing lounge to another chair. Your task is to rewrite the given utterance as a description specifically about the lounge.,Can you rewrite please the following utterance comparing lounge to another chair as a description specifically about the lounge? Utterance: It has 3 seats all together in a row.,a lounge with 3 seats all together in a row
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target does not have a headrest cushion..,a chair without a headrest cushion
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chair has a rectangular back..,a chair with rectangular back
You will be given an utterance comparing lounge chair to another chair. Your task is to rewrite the given utterance as a description specifically about the lounge chair.,Can you rewrite please the following utterance comparing lounge chair to another chair as a description specifically about the lounge chair? Utterance: It has two armrests.,a lounge chair with two armrests
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: There is a large gap in the bottom underneath the seat.,a short armchair
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: it has four vertical legs.,an armchair with four vertical legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a solid backrest.,a chair with a solid backrest
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target's top back edge is straight/even..,a side chair that its top back edge is straight/even
You will be given an utterance comparing deck chair to another chair. Your task is to rewrite the given utterance as a description specifically about the deck chair.,Can you rewrite please the following utterance comparing deck chair to another chair as a description specifically about the deck chair? Utterance: The target has much thicker spindles on that make up the back of the seat.,a chair that its lower 2/3 of the back consists of six vertical cylinders
You will be given an utterance comparing rocker to another chair. Your task is to rewrite the given utterance as a description specifically about the rocker.,Can you rewrite please the following utterance comparing rocker to another chair as a description specifically about the rocker? Utterance: The target chair is a rocking chair..,a deck chair with thick spindles on that make up the back of the seat
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chair is a swivel chair.,a rocking chair
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,"Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The back is flat, NOT curved.",a swivel chair
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The front and back legs are different shapes.,an armchair with a flat back
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: Target chair is thinner..,a thin straight chair
You will be given an utterance comparing cantilever chair to another chair. Your task is to rewrite the given utterance as a description specifically about the cantilever chair.,Can you rewrite please the following utterance comparing cantilever chair to another chair as a description specifically about the cantilever chair? Utterance: It does not have wheels..,a cantilever chair without wheels
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The target chair has a square shaped seat..,a straight chair with a square shaped seat
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The material is tufted.,a tufted armchair
You will be given an utterance comparing lounge chair to another chair. Your task is to rewrite the given utterance as a description specifically about the lounge chair.,Can you rewrite please the following utterance comparing lounge chair to another chair as a description specifically about the lounge chair? Utterance: The target has traditional back and front legs.,a lounge chair with traditional back and front legs
You will be given an utterance comparing swivel chair to another chair. Your task is to rewrite the given utterance as a description specifically about the swivel chair.,Can you rewrite please the following utterance comparing swivel chair to another chair as a description specifically about the swivel chair? Utterance: It has two short arms.,a swivel chair with two short arms
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: it has no armrests.,a side chair without armrests
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: the target has stretcher connecting the legs..,a chair with a stretcher connecting the legs
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: Rear and front legs are thicker by depth and height.,a straight chair with rear and front legs that are thick by depth and height
You will be given an utterance comparing overstuffed chair to another chair. Your task is to rewrite the given utterance as a description specifically about the overstuffed chair.,Can you rewrite please the following utterance comparing overstuffed chair to another chair as a description specifically about the overstuffed chair? Utterance: The target chair doesn't have a matching Ottoman..,an overstuffed chair without a matching Ottoman
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: Target chair is smaller..,a small straight chair
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: back is not in reclining position.,an armchair that its back is a perfect circle
You will be given an utterance comparing easy chair to another chair. Your task is to rewrite the given utterance as a description specifically about the easy chair.,Can you rewrite please the following utterance comparing easy chair to another chair as a description specifically about the easy chair? Utterance: target has arms.,an easy chair with arms
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: All of the legs are one piece.,an armchair with back legs
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: It does not have legs.,a club chair without legs
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: Arms go further off to the side..,a club chair that its arms go far off to the side
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: It is very thin.,a chaise  that its arm rests slope down from and are attached to the back rest
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: there are no ears on the back.,a very thin armchair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: Target chair back is less curved..,a chair with a straight back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chairs' back legs are angled toward the back..,a chair that its back legs are angled toward the back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It does not have arms..,a chair without arms
You will be given an utterance comparing swivel chair to another chair. Your task is to rewrite the given utterance as a description specifically about the swivel chair.,Can you rewrite please the following utterance comparing swivel chair to another chair as a description specifically about the swivel chair? Utterance: Target chair has a fan shaped back..,a club chair without casters
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target's legs come from the middle of the seat..,a chair that its legs come from the middle of the seat
You will be given an utterance comparing cantilever chair to another chair. Your task is to rewrite the given utterance as a description specifically about the cantilever chair.,Can you rewrite please the following utterance comparing cantilever chair to another chair as a description specifically about the cantilever chair? Utterance: The target's legs are connected by a bar..,a cantilever chair that its legs are connected by a bar
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: the legs are thinner.,a straight chair with thin legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,"Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The chair has three legs, two at the front and one at the back.","a side chair with three legs, two at the front and one at the back"
You will be given an utterance comparing lounge to another chair. Your task is to rewrite the given utterance as a description specifically about the lounge.,Can you rewrite please the following utterance comparing lounge to another chair as a description specifically about the lounge? Utterance: It looks more comfortable.,a lounge that looks comfortable
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: It has arms.,an armchair with arms
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: The chair has a foot rest..,a large and ornate club chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has thick legs..,a chair with thick legs
